MonumentID,MaterialID,MonumentType,MentionsUnit,Inscription,CleanedInscriptionConservative,CleanedInscription,Translation,TranslationSource,Decorated,Pediment,PedimentDetail,Frieze,Portrait,InscriptionDetails,InscriptionBorder,LowerFieldDecoration,LowerFieldDetail,MonumentStyleType,FromLatEpig,EDCSTags
0011,0011,,,C(aius) Licinius C(ai) f(ilius) / Fab(ia) dom(o) Sinope / vete(ranus) leg(ionis) VII an(norum) L / stip(endiorum) XXVII / h(ic) s(itus) e(st) / heredes posuer(unt),C Licinius C f Fab dom Sinope vete leg VII an L stip XXVII h s e heredes posuer,Caius Licinius Cai filius Fabia domo Sinope veteranus legionis VII annorum L stipendiorum XXVII hic situs est heredes posuerunt,,,,,,,,,,,,,,milites;  praenomen et nomen;  tituli sepulcrales;  viri
0012,0012,,,L(ucius) Luc[3] / C(ai) f(ilius) Prim[us] / vete(ranus) leg(ionis) / XV Apolli/naris / h(ic) s(itus) e(st) / t(estamento) f(ieri) i(ussit),L Luc C f Prim vete leg XV Apollinaris h s e t f i,Lucius Luc Cai filius Primus veteranus legionis XV Apollinaris hic situs est testamento fieri iussit,,,,,,,,,,,,,,milites;  tituli sepulcrales;  tria nomina;  viri
0013,0013,,,T(itus?) Octavius T(iti) f(ilius) / Vel(ina) Hister vet(eranus) / leg(ionis) XI C(laudiae) P(iae) F(idelis) t(estamento) f(ieri) i(ussit) et / Acrini contuber/nali / in f(ronte) ped(es) X / in agr(o) ped(es) XI,T Octavius T f Vel Hister vet leg XI C P F t f i et Acrini contubernali in f ped X in agr ped XI,Titus Octavius Titi filius Velina Hister veteranus legionis XI Claudiae Piae Fidelis testamento fieri iussit et Acrini contubernali in fronte pedes X in agro pedes XI,,,,,,,,,,,,,,milites;  nomen singulare;  tituli sepulcrales;  tria nomina;  viri
0014,0014,,,L(ucius) Pescennius / L(uci) f(ilius) Fal(erna) Satur/ninus vet(eranus) leg(ionis) / XI C(laudiae) P(iae) F(idelis) v(ivus) f(ecit) sibi et / Mariae Sp(uri) f(iliae) Quin/tae con[iugi] / be[ne merenti,L Pescennius L f Fal Saturninus vet leg XI C P F v f sibi et Mariae Sp f Quintae con bene merenti,Lucius Pescennius Luci filius Falerna Saturninus veteranus legionis XI Claudiae Piae Fidelis vivus fecit sibi et Mariae Spuri filiae Quintae coniugi bene merenti,,,,,,,,,,,,,,milites;  mulieres;  tituli sepulcrales;  tria nomina;  viri
0015,0015,,,]ANE[3] / [3]a Luc[3] / [3 leg(ionis) III] F(laviae) F(elicis) [,ANE a Luc F F,ANE a Luc legionis III Flaviae Felicis,,,,,,,,,,,,,,milites;  tituli sepulcrales;  viri
0016,0016,,,] Cl(audia) Liburno / [3 pr]aef(ecto) coh(ortis) IIII / [3 praef(ecto)] coh(ortis) III Thrac(um) / [3]m trib(uno) mil(itum) leg(ionis) XXII / [3]m Aug(usta) P[r]aet(oria?),Cl Liburno aef coh IIII coh III Thrac m trib mil leg XXII m Aug Paet,Claudia Liburno praefecto cohortis IIII praefecto cohortis III Thracum m tribuno militum legionis XXII m Augusta Praetoria,,,,,,,,,,,,,,milites;  ordo equester;  tituli honorarii;  tria nomina;  viri
0017,0017,,,Tytulius / Panentis / Sil/vano Do/mestico pos(uit),Tytulius Panentis Silvano Domestico pos,Tytulius Panentis Silvano Domestico posuit,,,,,,,,,,,,,,nomen singulare;  tituli sacri;  viri
0018,0018,,,M(arcus) Domitius / M(arci) f(ilius) Fabia Sev/erus Brix{s}ia / miles leg(ionis) XI / ann(orum) XXX / stip(endiorum) VIII h(ic) s(itus) e(st) / heres posuit,M Domitius M f Fabia Severus Brixsia miles leg XI ann XXX stip VIII h s e heres posuit,Marcus Domitius Marci filius Fabia Severus Brixia miles legionis XI annorum XXX stipendiorum VIII hic situs est heres posuit,,,,,,,,,,,,,,milites;  tituli sepulcrales;  tria nomina;  viri
0019,0019,,,]GII[3] / [3] qui Rega[liano(?)] / [3] A[u]g(usto) Ne[meto] / [3] mil(es) leg(ionis) I[3] / [h(ic)] s(itus) e(st),GII qui Rega Ag Ne mil leg I s e,GII qui Regaliano Augusto Nemeto miles legionis I hic situs est,,,,,,,,,,,,,,milites;  tituli sepulcrales;  viri
0020,0020,,,Remmo / Saeconis / f(ilius) mil(es) coh(ortis) / Mont(anorum) ann(orum) / [,Remmo Saeconis f mil coh Mont ann,Remmo Saeconis filius miles cohortis Montanorum annorum,,,,,,,,,,,,,,milites;  nomen singulare;  tituli sepulcrales;  viri
0021,0021,,,M(arcus) Valerius / Liberalis / m(iles) leg(ionis) XI Cl(audiae) P(iae) F(idelis) / an(n)oru(m) XIIX st(ipendiorum) II / domu Cl(audia) Aequo / mater M(arci) viro et / sib(i) et filio,M Valerius Liberalis m leg XI Cl P F anoru XIIX st II domu Cl Aequo mater M viro et sib et filio,Marcus Valerius Liberalis miles legionis XI Claudiae Piae Fidelis annorum XIIX stipendiorum II domu Claudia Aequo mater Marci viro et sibi et filio,,,,,,,,,,,,,,milites;  mulieres;  tituli sepulcrales;  tria nomina;  viri
0022,0022,,,L(ucius) Val(erius) Maximus Va/lerio Proclo ann(orum) IXXX / leg(ionis) XI C(laudiae) P(iae) F(idelis) d(imisso) [h(onesta) m(issione) e]t Val/giae vet(?) en[3 V]aleriae / Proclinae nepti / Annucu[3] <e=F>(gregiae) m(emoriae) v(ir) / p(ie) f(ecit),L Val Maximus Valerio Proclo ann IXXX leg XI C P F d t Valgiae vet en aleriae Proclinae nepti Annucu F m v p f,Lucius Valerius Maximus Valerio Proclo annorum IXXX legionis XI Claudiae Piae Fidelis dimisso honesta missione et Valgiae vet en Valeriae Proclinae nepti Annucu egregiae memoriae vir pie fecit,,,,,,,,,,,,,,milites;  mulieres;  ordo equester;  tituli sepulcrales;  tria nomina;  viri
0023,0023,,,] / L(ucius) [3] / Men(enia) V[ero(?)] / Feltr(ia) mil(es) / leg(ionis) XI C(laudiae) P(iae) F(idelis) / stip(endiorum) XVI / her(es) posu(it),L Men V Feltr mil leg XI C P F stip XVI her posu,Lucius Menenia Vero Feltria miles legionis XI Claudiae Piae Fidelis stipendiorum XVI heres posuit,,,,,,,,,,,,,,milites;  tituli sepulcrales;  tria nomina;  viri
0024,0024,,,[L(uci) V]iri L(uci) f(ilii) Pob(lilia) / Novici Vero(na) / mil(itis) leg(ionis) XI C(laudiae) P(iae) F(idelis) / |(centuria) Aquili Fro(ntonis) / stip(endiorum) XXII / h(eres) f(aciendum) c(uravit),iri L f Pob Novici Vero mil leg XI C P F Aquili Fro stip XXII h f c,Luci Viri Luci filii Poblilia Novici Verona militis legionis XI Claudiae Piae Fidelis centuria Aquili Frontonis stipendiorum XXII heres faciendum curavit,,,,,,,,,,,,,,milites;  tituli sepulcrales;  tria nomina;  viri
0025,0025,,,[3] Quin[t 3] / P(ublius) Quin[t 3] / coniu[gi,Quin P Quin coniugi,Quint Publius Quint coniugi,,,,,,,,,,,,,,mulieres;  tituli sepulcrales;  viri
0026,0026,,,Sura Gemelli / sibi et suis / [,Sura Gemelli sibi et suis,Sura Gemelli sibi et suis,,,,,,,,,,,,,,mulieres;  nomen singulare;  tituli sepulcrales;  viri
0027,0027,,,]NSII[3] / [3 ex testa]ment(o) f[ecit(?),NSII ment fecit,NSII ex testamento fecit,,,,,,,,,,,,,,tituli sepulcrales
0028,0028,,,L(ucius) Vibius / Max(imus) / t(itulum) pos(u)i(t) / Proclii / Cili a(nnorum) II,L Vibius Max t posi Proclii Cili a II,Lucius Vibius Maximus titulum posuit Proclii Cili annorum II,,,,,,,,,,,,,,tituli operum;  tituli sepulcrales;  tria nomina;  viri
0029,0029,,,[L(ucius) Do]mitiu[s] / [3 R]ufus / [L]atrae / v(otum) s(olvit) l(ibens) m(erito),mitiu ufus atrae v s l m,Lucius Domitius Rufus Latrae votum solvit libens merito,,,,,,,,,,,,,,tituli sacri;  tria nomina;  viri
0030,0030,,,<L=I>(ucius) Dom[itius] / Ru[fus,I Dom Rufus,Lucius Domitius Rufus,,,,,,,,,,,,,,tituli sacri;  tria nomina;  viri
0031,0031,,,Imp(eratori) Caesari divi Nervae f(ilio) / Nervae Traiano Optimo / Aug(usto) Germ(anico) Dacico pont(ifici) max(imo) / trib(unicia) pot(estate) XVII imp(eratori) VI co(n)s(uli) VI p(atri) p(atriae) // L(ucius) Laelius L(uci) f(ilius) Proculus / t(estamento) f(ieri) i(ussit) epuloque dedicari,Imp Caesari divi Nervae f Nervae Traiano Optimo Aug Germ Dacico pont max trib pot XVII imp VI cos VI p p L Laelius L f Proculus t f i epulo que dedicari,Imperatori Caesari divi Nervae filio Nervae Traiano Optimo Augusto Germanico Dacico pontifici maximo tribunicia potestate XVII imperatori VI consuli VI patri patriae Lucius Laelius Luci filius Proculus testamento fieri iussit epulo que dedicari,,,,,,,,,,,,,,Augusti/Augustae;  tituli honorarii;  tituli sacri;  tria nomina;  viri
0032,0032,,,T(itus) Iulius / T(iti) f(ilius) Cla(udia) / C[el]er / [3 l]eg(ionis) II Aug(usta) / [ar]am ex / [HS] XX(milibus) test(amento) / f[ier]i iussit,T Iulius T f Cla Cer eg II Aug am ex XX test fi iussit,Titus Iulius Titi filius Claudia Celer legionis II Augusta aram ex HS XXmilibus testamento fieri iussit,,,,,,,,,,,,,,milites;  tituli operum;  tria nomina;  viri
0033,0033,,,] dec(urio) augur porticum / t(estamento) f(ieri) i(usiit) ex HS LXXX(milibus),dec augur porticum t f i ex HS LXXX,decurio augur porticum testamento fieri iusiit ex HS LXXXmilibus,,,,,,,,,,,,,,ordo decurionum;  sacerdotes pagani;  tituli operum;  viri
0034,0034,,,de]curi[oni 3] / [3 Arr]untia(?) [3] / [Flore]ntin[a(?),decuri untia ntina,decurioni Arruntia Florentina,,,,,,,,,,,,,,milites;  mulieres;  ordo decurionum;  tituli sepulcrales;  tria nomina;  viri
0035,0035,,,L(ucius) Antes[tius] / L(uci) f(ilius) Secun[dus] / [,L Antes L f Secun,Lucius Antestius Luci filius Secundus,,,,,,,,,,,,,,tituli sepulcrales;  tria nomina;  viri
0036,0036,,,C(aio) Arrun/tio Celeri / C(aius) Arrunt/{t}ius Seda/tus pater,C Arruntio Celeri C Arrunttius Sedatus pater,Caio Arruntio Celeri Caius Arruntius Sedatus pater,,,,,,,,,,,,,,tituli sepulcrales;  tria nomina;  viri
0037,0037,,,L(ucio) Arru[n]/tio / Maroni / [,L Arrutio Maroni,Lucio Arruntio Maroni,,,,,,,,,,,,,,tituli sepulcrales;  tria nomina;  viri
0038,0038,,,Caesiae / T(iti) f(iliae) Tert<u=Y>llinae,Caesiae T f TertYllinae,Caesiae Titi filiae Tertullinae,,,,,,,,,,,,,,mulieres;  tituli sepulcrales;  tria nomina
0039,0039,,,Tito / Laelio / Maximo / an(norum) XIX Rosi[a] / Severa mater / f(ecit) p(ie),Tito Laelio Maximo an XIX Rosi Severa mater f p,Tito Laelio Maximo annorum XIX Rosia Severa mater fecit pie,,,,,,,,,,,,,,mulieres;  tituli sepulcrales;  tria nomina;  viri
0040,0040,,,C(aio) Oppio / C(ai) f(ilio) Cla(udia) / Clementi / Rusticel[lo(?)] / an(norum) XVI Baebi[a] / T(iti) f(ilia) Oppia mat[er] f(ilio) p(osuit),C Oppio C f Cla Clementi Rusticel an XVI Baebi T f Oppia mat f p,Caio Oppio Cai filio Claudia Clementi Rusticello annorum XVI Baebia Titi filia Oppia mater filio posuit,,,,,,,,,,,,,,mulieres;  tituli sepulcrales;  tria nomina;  viri
0041,0041,,,]cenon[3] / [3 e]t sibi p[osuit // ]BRE[ // ]IDI[,cenon t sibi pBREIDI,cenon et sibi posuit BRE IDI,,,,,,,,,,,,,,tituli sepulcrales
0042,0042,,,] VL[3] / [b(ene)]f(iciarius) co[(n)s(ularis)] / [l]eg(ionis) XI [Cl(audiae)] / [v(otum)] s(olvit) [l(ibens) m(erito)],VL f co eg XI s,VL beneficiarius consularis legionis XI Claudiae votum solvit libens merito,,,,,,,,,,,,,,milites;  tituli sacri;  viri
0043,0043,,,Lartidia Recepta / C(ai) Lartidi Crispi |(centurionis) / coh(ortis) VIII volunt(iariorum) ann(orum) / XXVII patronus pos(u)it / h(ic) s(ita) e(st),Lartidia Recepta C Lartidi Crispi coh VIII volunt ann XXVII patronus posit h s e,Lartidia Recepta Cai Lartidi Crispi centurionis cohortis VIII voluntiariorum annorum XXVII patronus posuit hic sita est,,,,,,,,,,,,,,liberti/libertae;  milites;  mulieres;  tituli sepulcrales;  tria nomina;  viri
0044,0044,,,Sabinae Herme/tis N(ovi) P() et Noviae Do/natae et No(viae) Hermae / Sabinus per suis fecit / de Sabinino mil(ite) / coh(ortis) VIII vol(untiariorum) an(norum) XXII,Sabinae Hermetis N P et Noviae Donatae et No Hermae Sabinus per suis fecit de Sabinino mil coh VIII vol an XXII,Sabinae Hermetis Novi P et Noviae Donatae et Noviae Hermae Sabinus per suis fecit de Sabinino milite cohortis VIII voluntiariorum annorum XXII,,,,,,,,,,,,,,milites;  mulieres;  nomen singulare;  tituli sepulcrales;  tria nomina;  viri
0045,0045,,,M(arcus) Annius M(arci) f(ilius) Triarius / <t=P>r(ibunus) mil(itum),M Annius M f Triarius Pr mil,Marcus Annius Marci filius Triarius tribunus militum,,,,,,,,,,,,,,milites;  ordo equester;  ordo senatorius;  tria nomina;  viri
0046,0046,,,[P(ublio)] Dolabella / leg(ato) pro pr(aetore) / coh(ors) VI vol(untariorum) / trib(uno) L(ucio) Purtisio Atinate / [3]ilio C(aio) Saenio IIvir(is),Dolabella leg pro pr coh VI vol trib L Purtisio Atinate ilio C Saenio II vir,Publio Dolabella legato pro praetore cohors VI voluntariorum tribuno Lucio Purtisio Atinate ilio Caio Saenio II viris,,,,,,,,,,,,,,milites;  ordo decurionum;  ordo equester;  ordo senatorius;  tituli operum;  tria nomina;  viri
0047,0047,,,Sex(tus) Iu[lius Sex(ti) f(ilius)] / Ani(ensi) Silva[nus Foro Iulii] / summus c[urat(or) c(ivium) R(omanorum) prov(inciae) Dalm(atiae)] / suffragio [eorum factus vet(eranus?)] / leg(ionis) VII C(laudiae) P(iae) F(idelis) aed[ilis col(oniae) Claudiae Aequi ab] / ordine primus [post col(oniam) ded(uctam) creatus] / IIIIvir i(ure) d(icundo) pont(ifex) [in col(onia?) Salona(?) 3] / in ag[ro] p(edes) [3] / h(oc) s(epulcrum) h(eredem) [n(on) s(equetur)],Sex Iu Ani Silva summus c suffragio leg VII C P F aed ordine primus IIII vir i d pont in ag p h s h,Sextus Iulius Sexti filius Aniensi Silvanus Foro Iulii summus curator civium Romanorum provinciae Dalmatiae suffragio eorum factus veteranus legionis VII Claudiae Piae Fidelis aedilis coloniae Claudiae Aequi ab ordine primus post coloniam deductam creatus IIII vir iure dicundo pontifex in colonia Salona in agro pedes hoc sepulcrum heredem non sequetur,,,,,,,,,,,,,,milites;  ordo decurionum;  tituli sepulcrales;  tria nomina;  viri
0048,0048,,,[Veneri] / [Ge]netrici / [3]CL[3] / [3]M[3] / Cn(aei) f(ilius?) [3] / [d]omo [3]/N in [3] / [Ae]quitat(is?) [3] / [3]I ex [,netrici CL M Cn f omo N in quitat I ex,Veneri Genetrici CL M Cnaei filius domo N in Aequitatis I ex,,,,,,,,,,,,,,tituli sacri;  viri
0049,0049,,,Burrius Betuloni / f(ilius) Trebocus miles / c(o)ho(rtis) Aquitanorum / annorum LV / stip(endiorum) XXIX / h(ic) s(itus) e(st) / heres posuit,Burrius Betuloni f Trebocus miles cho Aquitanorum annorum LV stip XXIX h s e heres posuit,Burrius Betuloni filius Trebocus miles cohortis Aquitanorum annorum LV stipendiorum XXIX hic situs est heres posuit,,,,,,,,,,,,,,milites;  nomen singulare;  tituli sepulcrales;  viri
0050,0050,,,M(arcus) Varenus / M(arci) f(ilius) Vol(tinia) Valens ve/ter(anus) leg(ionis) VII C(laudiae) P(iae) F(idelis) t(estamento) f(ieri) i(ussit) / arbitratu M(arci) Vare/ni Secundi liberti idem/que heredis,M Varenus M f Vol Valens veter leg VII C P F t f i arbitratu M Vareni Secundi liberti idem que heredis,Marcus Varenus Marci filius Voltinia Valens veteranus legionis VII Claudiae Piae Fidelis testamento fieri iussit arbitratu Marci Vareni Secundi liberti idem que heredis,,,,,,,,,,,,,,liberti/libertae;  milites;  tria nomina;  viri
0051,0051,,,C(aio) Corn]elio Cl(audia) [3]/no Cornelia [3] / [p]atrono t(estamento) f(ieri) i(ussit) Corneli[3] / [3] Verecundus Pudens [3] / [lib(erti)] et hered(es) P(ubli) Quinti Liciniani [3] / [hi]c testamento reliquit col(oniae) C(laudiae) [Aeq(uitanis)] / [H]S n(ummum) LX(milia) e[x c]uius reditu [quotannis,C Cornelio Cl no Cornelia atrono t f i Corneli Verecundus Pudens et hered P Quinti Liciniani c testamento reliquit col C S n LX euius reditu quotannis,Caio Cornelio Claudia no Cornelia patrono testamento fieri iussit Corneli Verecundus Pudens liberti et heredes Publi Quinti Liciniani hic testamento reliquit coloniae Claudiae Aequitanis HS nummum LXmilia ex cuius reditu quotannis,,,,,,,,,,,,,,liberti/libertae;  mulieres;  tituli sepulcrales;  tria nomina;  viri
0052,0052,,,C(aius) Octavius / C(ai) f(ilius) Fabia Vital[i]s / domo Brixiae / vet(eranus) leg(ionis) VII C(laudiae) P(iae) F(idelis) / h(ic) s(itus) e(st) / testamento f(ieri) i(ussit) / arbitratu Octavi/ae Secundaes(!) lib(ertae) / suae,C Octavius C f Fabia Vitals domo Brixiae vet leg VII C P F h s e testamento f i arbitratu Octaviae Secundaes lib suae,Caius Octavius Cai filius Fabia Vitalis domo Brixiae veteranus legionis VII Claudiae Piae Fidelis hic situs est testamento fieri iussit arbitratu Octaviae Secundaes libertae suae,,,,,,,,,,,,,,liberti/libertae;  milites;  mulieres;  tituli sepulcrales;  tria nomina;  viri
0053,0053,,,Cn(aeo) Minicio / Faustino / Iulio Severo / trib(uno) leg(ionis) XIIII Gem(inae) / quaestori provinc(iae) / Maced(oniae) trib(uno) pleb(is) pr(aetori) / leg(ato) leg(ionis) XIIII [Gem(inae)] / [,Cn Minicio Faustino Iulio Severo trib leg XIIII Gem quaestori provinc Maced trib pleb pr leg leg XIIII,Cnaeo Minicio Faustino Iulio Severo tribuno legionis XIIII Geminae quaestori provinciae Macedoniae tribuno plebis praetori legato legionis XIIII Geminae,,,,,,,,,,,,,,milites;  ordo senatorius;  tituli honorarii;  tria nomina;  viri
0054,0054,,,M(arco) Caecilio / Saturni/no vet(erano) leg(ionis) XI / C(laudiae) P(iae) F(idelis) et / Viriae P(ubli) l(ibertae) / uxori [,M Caecilio Saturnino vet leg XI C P F et Viriae P l uxori,Marco Caecilio Saturnino veterano legionis XI Claudiae Piae Fidelis et Viriae Publi libertae uxori,,,,,,,,,,,,,,liberti/libertae;  milites;  mulieres;  praenomen et nomen;  tituli sepulcrales;  tria nomina;  viri
0055,0055,,,Q(uinto) Petro/nio Vale/nti militiav(it) / leg(ione) VII <C=G>(laudia) P(ia) F(ideli) / h(ic) s(itus) e(st),Q Petronio Valenti militiav leg VII G P F h s e,Quinto Petronio Valenti militiavit legione VII Claudia Pia Fideli hic situs est,,,,,,,,,,,,,,milites;  tituli sepulcrales;  tria nomina;  viri
0056,0056,,,[I(ovi)] O(ptimo) M(aximo) / [3 V]ar(ius?) R() / [3]TI[3] / coh(ortis?) I m(iliariae) / [e]x ius(su) / l(ibens),O M ar R TI coh I m x ius l,Iovi Optimo Maximo Varius R TI cohortis I miliariae ex iussu libens,,,,,,,,,,,,,,milites;  tituli sacri;  tria nomina;  viri
0057,0057,,,Q(uintus) Magius / C(ai) f(ilius) Publ(ilia) dom(o) / Verona vetera(nus) / leg(ionis) VII annoru(m) / L stipend(iorum) XXV / t(estamento) f(ieri) i(ussit) h(ic) [s(itus)] e(st),Q Magius C f Publ dom Verona vetera leg VII annoru L stipend XXV t f i h e,Quintus Magius Cai filius Publilia domo Verona veteranus legionis VII annorum L stipendiorum XXV testamento fieri iussit hic situs est,,,,,,,,,,,,,,milites;  praenomen et nomen;  tituli sepulcrales;  viri
0058,0058,,,[3 i]nter Ner[a]/[sti]nos et Pitunti/nos termini r[ec]/[o]gniti et restitu[ti] a / [P]isone leg(ato) pro pr(a)etore / [Ti(beri)] Claudi Caesaris [Aug(usti)] / Germanici per C(aium) Ma[r]/ium Maternum |(centurionem) leg(ionis) / VII C(laudiae) P(iae) F(idelis) quos L(ucius) Volus/[ius Saturninus,nter Nernos et Pituntinos termini rgniti et restitu a isone leg pro pretore Claudi Caesaris Germanici per C Maium Maternum leg VII C P F quos L Volusius Saturninus,inter Nerastinos et Pituntinos termini recogniti et restituti a Pisone legato pro praetore Tiberi Claudi Caesaris Augusti Germanici per Caium Marium Maternum centurionem legionis VII Claudiae Piae Fidelis quos Lucius Volusius Saturninus,,,,,,,,,,,,,,Augusti/Augustae;  milites;  nomen singulare;  ordo senatorius;  termini;  tria nomina;  viri
0059,0059,,,C(aius) Iulius Bar/cenei f(ilius) The/odorus m/iles coh(ortis) II / Cyrrhesta/rum annor(um) / LXV stipen(diorum) XLII / h(ic) s(itus) e(st) posuit / C(aius) Iulius Scapula / frat(er),C Iulius Barcenei f Theodorus miles coh II Cyrrhestarum annor LXV stipen XLII h s e posuit C Iulius Scapula frat,Caius Iulius Barcenei filius Theodorus miles cohortis II Cyrrhestarum annorum LXV stipendiorum XLII hic situs est posuit Caius Iulius Scapula frater,,,,,,,,,,,,,,milites;  nomen singulare;  tituli sepulcrales;  tria nomina;  viri
0060,0060,,,C(aius) Iulius An/dromachus / miles coh(ortis) II / Cyrr(h)estar(um) ann(orum) LXV stipend(iorum) / XXXX / C(aius) Iulius Apolla / sodalis vo(tum) posuit,C Iulius Andromachus miles coh II Cyrrestar ann LXV stipend XXXX C Iulius Apolla sodalis vo posuit,Caius Iulius Andromachus miles cohortis II Cyrrhestarum annorum LXV stipendiorum XXXX Caius Iulius Apolla sodalis votum posuit,,,,,,,,,,,,,,milites;  sacerdotes pagani;  tituli sacri;  tria nomina;  viri
0061,0061,,,C(aius) Iulius C(ai) f(ilius) / Vel(ina) domo / Pessinunte / vet(eranus) leg(ionis) VII / ann(orum) XLV stip(endiorum) XXV / h(ic) s(itus) e(st) / C(aius) Mummius p(osuit),C Iulius C f Vel domo Pessinunte vet leg VII ann XLV stip XXV h s e C Mummius p,Caius Iulius Cai filius Velina domo Pessinunte veteranus legionis VII annorum XLV stipendiorum XXV hic situs est Caius Mummius posuit,,,,,,,,,,,,,,milites;  praenomen et nomen;  tituli sepulcrales;  viri
0062,0062,,,Severus Triocha/ri f(ilius) Ubius / eq(ues) ala(e) Tu/ngr(orum) ann(orum) / XXVI sti(pendiorum) V / h(ic) s(itus) e(st) Urban/us fratri pos(u)it,Severus Triochari f Ubius eq ala Tungr ann XXVI sti V h s e Urbanus fratri posit,Severus Triochari filius Ubius eques alae Tungrorum annorum XXVI stipendiorum V hic situs est Urbanus fratri posuit,,,,,,,,,,,,,,milites;  nomen singulare;  tituli sepulcrales;  tria nomina;  viri
